"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
800 20 1.7 739 164 19.6565471324554 1.68513056500747 FALSE ""
1000 10 1.7 299 165 9.63196886743054 1.67486832245133 FALSE ""
200 20 1.7 388 166 19.5493095980458 1.74093737841391 FALSE ""
1000 30 1.05 446 167 46.1370750874324 1.0722481467623 FALSE ""
400 10 1.05 518 168 21.387099821152 1.09671074615784 FALSE ""
800 10 1.05 723 169 15.8357731185031 1.07589087287096 FALSE ""
200 20 1.7 576 170 30.1054851219029 1.90645193725091 FALSE ""
800 20 1.7 387 171 19.2619452435859 1.70923257340789 FALSE ""
400 10 1.05 438 172 18.7313769618126 1.08380406938922 FALSE ""
1000 30 1.7 101 173 30.5450524042187 1.69264821960312 FALSE ""
800 10 1.7 45 174 9.76387456308757 1.66354165657292 FALSE ""
800 20 1.05 209 175 30.093236607586 1.07244237052579 FALSE ""
200 10 1.7 84 176 10.4771359741007 1.80565199794631 FALSE ""
200 30 1.05 783 177 46.730383862766 1.07349120987353 FALSE ""
400 10 1.7 445 178 10.2997424592841 1.69402616137558 FALSE ""
800 20 1.7 667 179 19.7321707763457 1.68238149721286 FALSE ""
800 10 1.7 68 180 10.6849196726549 1.713128594273 FALSE ""
200 20 1.7 64 181 17.9637369418781 1.68224611233023 FALSE ""
200 10 1.05 457 182 15.3894443027356 1.07522603161426 FALSE ""
800 30 1.05 92 183 47.5902146383425 1.07304814378126 FALSE ""
400 20 1.05 267 184 31.2555225765057 1.07507231225972 FALSE ""
600 10 1.7 675 185 10.299207452598 1.74142668562403 FALSE ""
800 30 1.05 862 186 51.1953591525756 1.07940674972259 FALSE ""
400 10 1.05 787 187 15.6855071092108 1.07351638774184 FALSE ""
600 30 1.05 665 188 49.8703720132715 1.07681631715909 FALSE ""
1000 10 1.7 347 189 9.00174363045724 1.6609995485039 FALSE ""
400 30 1.7 223 190 25.5875065114216 1.72002767455986 FALSE ""
600 30 1.05 32 191 52.2390853551174 1.07993285901107 FALSE ""
400 10 1.05 146 192 16.9164096821894 1.07780391544212 FALSE ""
800 20 1.05 212 193 33.4638933987693 1.07839074919262 FALSE ""
1000 30 1.7 722 194 35.1112274335559 1.73842653214919 FALSE ""
800 30 1.7 481 195 32.1471672412938 1.69949876280975 FALSE ""
1000 10 1.05 945 196 16.6279292249192 1.07837299678376 FALSE ""
600 20 1.05 940 197 37.7803911156241 1.08583812214948 FALSE ""
1000 10 1.05 664 198 16.396332646518 1.07585047233037 FALSE ""
200 20 1.05 503 199 32.416083426788 1.07543418545444 FALSE ""
400 20 1.7 438 200 22.407682742874 1.77234369752746 FALSE ""
400 20 1.7 590 201 24.4007349100678 1.78191852540634 FALSE ""
1000 30 1.05 378 202 50.0817678358222 1.07695202180745 FALSE ""
